shape_id;shape_pt_lat;shape_pt_lon;shape_pt_sequence
30025;49.101033;6.175172;260002
30025;49.101033;6.175172;270001
30025;49.098724;6.173378;270002
30025;49.098724;6.173378;280001
30025;49.096835;6.175178;280002
30025;49.096835;6.175178;290001
30025;49.094382;6.175952;290002
30025;49.094382;6.175952;300001
30025;49.093283;6.172531;300002
30025;49.093283;6.172531;310001
30025;49.093940;6.168179;310002
30025;49.093940;6.168179;320001
30025;49.091910;6.167250;320002
30025;49.091910;6.167250;330001
30025;49.089855;6.166131;330002
30025;49.089855;6.166131;340001
30025;49.087485;6.164532;340002
30025;49.087485;6.164532;350001
30025;49.088491;6.159318;350002
30025;49.088491;6.159318;360001
30025;49.086587;6.156651;360002
30025;49.086587;6.156651;370001
30025;49.084587;6.154709;370002
30026;49.084587;6.154709;10001
30026;49.086565;6.156623;10002
30026;49.086565;6.156623;20001
30026;49.088292;6.159708;20002
30026;49.088292;6.159708;30001
30026;49.087466;6.164294;30002
30026;49.087466;6.164294;40001
30026;49.090403;6.166435;40002
30026;49.090403;6.166435;50001
30026;49.091728;6.167170;50002
30026;49.091728;6.167170;60001
30026;49.093500;6.167980;60002
30026;49.093500;6.167980;70001
30026;49.092979;6.172841;70002
30026;49.092979;6.172841;80001
30026;49.094514;6.176234;80002
30026;49.094514;6.176234;90001
30026;49.097385;6.174626;90002
30026;49.097385;6.174626;100001
30026;49.099076;6.173745;100002
30026;49.099076;6.173745;110001
30026;49.100236;6.175472;110002
30026;49.100236;6.175472;120001
30026;49.103244;6.174837;120002
30026;49.103244;6.174837;130001
30026;49.105977;6.173652;130002
30026;49.105977;6.173652;140001
30026;49.107800;6.172740;140002
30026;49.107800;6.172740;150001
30026;49.110333;6.175233;150002
30026;49.110333;6.175233;160001
30026;49.110789;6.171108;160002
30026;49.110789;6.171108;170001
30026;49.115245;6.173645;170002
30026;49.115245;6.173645;180001
30026;49.119169;6.170879;180002
30026;49.119169;6.170879;190001
30026;49.121305;6.175270;190002
30026;49.121305;6.175270;200001
30026;49.122449;6.178004;200002
30026;49.122449;6.178004;210001
30026;49.124458;6.182114;210002
30026;49.124458;6.182114;220001
30026;49.127471;6.175816;220002
30026;49.127471;6.175816;230001
30026;49.129526;6.170049;230002
30026;49.129526;6.170049;240001
30026;49.132970;6.167800;240002
30026;49.132970;6.167800;250001
30026;49.133230;6.164190;250002
30026;49.133230;6.164190;260001
30026;49.134796;6.161172;260002
30026;49.134796;6.161172;270001
30026;49.135083;6.156760;270002
30026;49.135083;6.156760;280001
30026;49.136455;6.155988;280002
30026;49.136455;6.155988;290001
30026;49.139403;6.153449;290002
30026;49.139403;6.153449;300001
30026;49.141084;6.150367;300002
30026;49.141084;6.150367;310001
30026;49.141640;6.148119;310002
30026;49.141640;6.148119;320001
30026;49.145003;6.147890;320002
30026;49.145003;6.147890;330001
30026;49.147379;6.148470;330002
30026;49.147379;6.148470;340001
30026;49.147642;6.152451;340002
30026;49.147642;6.152451;350001
30026;49.151276;6.150049;350002
30026;49.151276;6.150049;360001
30026;49.152567;6.145716;360002
30026;49.152567;6.145716;370001
30026;49.156248;6.140034;370002
30027;49.084587;6.154709;10001
30027;49.086565;6.156623;10002
30027;49.086565;6.156623;20001
30027;49.088292;6.159708;20002
30027;49.088292;6.159708;30001
30027;49.087466;6.164294;30002
30027;49.087466;6.164294;40001
30027;49.090403;6.166435;40002
30027;49.090403;6.166435;50001
30027;49.091728;6.167170;50002
30027;49.091728;6.167170;60001
30027;49.093500;6.167980;60002
30027;49.093500;6.167980;70001
30027;49.092979;6.172841;70002
30027;49.092979;6.172841;80001
30027;49.094514;6.176234;80002
30027;49.094514;6.176234;90001
